country_code,n_metros,country_area_km2,uncovered_km2,overlap_km2,escape_km2,invalid_geoms,max_cell_area_km2,union_ok,measured_rotated
TL,2,15145.115928352661,0.0004427087908975223,2.1163080586393264e-08,6.647612355861078e-10,0,14742.567803172606,True,False
TM,13,470449.2866983797,0.21381851841419044,2.1330170145708712e-06,0.04050387938632114,0,85215.1057570894,True,False
TN,28,156654.68294490065,0.031987707592903564,0.02551542518716178,0.0005293571413939935,0,26129.560486580933,True,False
TO,4,604.8591018108041,5.115871703397165e-11,0.0,4.490153513783964e-11,0,260.3874478426012,True,False
TR,114,779426.4031430754,0.35434943084689224,0.04692690837184543,0.04367022292052109,0,34321.413846027026,True,False
TT,4,5143.646055030513,6.974220630313283e-05,2.028305606964089e-08,0.00010141764471608493,0,2909.481806175912,True,False
TV,1,23.116003795226714,0.0,0.0,0.0,0,23.116003795232764,True,False
TW,27,36281.434867172116,0.00025525317187391136,0.00011717686131563111,0.0029743381230969822,0,4512.004510352764,True,False
TZ,62,945555.9753448471,0.030352832501412064,0.014507552302754065,0.015339061229266475,0,66690.61406753316,True,False
UA,51,570179.8180322853,0.027308222549400553,0.0018438953955997354,0.04986376243165875,0,26583.068913418843,True,False
UG,86,242936.01671023094,0.001828039333670907,0.004532787803950952,0.01347078471091738,0,9591.598214947919,True,False
UM,3,28.103414729217526,0.0,0.0,0.0,0,19.463386233792075,True,False
US,776,9447868.303355558,2.3598420785361376,1.4474918750808885,1.51623745876784,0,67214.39331628729,True,False
UY,32,177439.5307410422,0.006026182007871215,0.008733470380616507,0.023403380218560702,0,14321.48258495059,True,False
UZ,30,447179.80655375996,0.1842295699806131,0.011601481222954386,0.03299798294105319,0,90551.34030023651,True,False
VA,1,0.012185526919842912,1.3752343288702056e-13,0.0,0.0,0,0.012185526919842912,True,False
VC,2,369.1210877189843,0.0010594107093402452,4.4295747639177776e-08,7.172706546513666e-11,0,313.51705600873044,True,False
